id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,size,color
wig-1,"Body Wave Taille 30","Sublime perruque Body Wave taille 30 pouces. Cheveux 100% humains d'une douceur incomparable. Disponible en plusieurs couleurs.",in stock,new,65000 XOF,http://localhost:8888/?product=wig-1,http://localhost:8888/assets/wigs/bodywave-30.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 30","Plusieurs couleurs disponibles"
wig-2,"Coupe Carré SDD Taille 12","Perruque Coupe Carré Super Double Drawn (SDD) taille 12. Densité parfaite et mèches fournies.",in stock,new,38000 XOF,http://localhost:8888/?product=wig-2,http://localhost:8888/assets/wigs/coupecarre-sdd-12.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 12","Plusieurs couleurs disponibles"
wig-3,"Coupe Carré Taille 12","Coupe Carré classique taille 12 pouces. Style chic, léger et prêt à porter.",in stock,new,17000 XOF,http://localhost:8888/?product=wig-3,http://localhost:8888/assets/wigs/coupecarre-12.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 12","Plusieurs couleurs disponibles"
wig-4,"Coupe Carré Taille 16","Coupe Carré mi-longue taille 16. Tombé fluide et élégant pour le quotidien.",in stock,new,21000 XOF,http://localhost:8888/?product=wig-4,http://localhost:8888/assets/wigs/coupecarre-16.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 16","Plusieurs couleurs disponibles"
wig-5,"Perruque Coupe Dame","Coupe Dame courte et raffinée. Idéale pour un style sophistiqué sans effort.",in stock,new,12500 XOF,http://localhost:8888/?product=wig-5,http://localhost:8888/assets/wigs/coupedame.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille Unique","Plusieurs couleurs disponibles"
wig-6,"Deep Wave Taille 16","Ondulations profondes et naturelles Deep Wave taille 16 pouces. Effet mouillé sublimé.",in stock,new,29000 XOF,http://localhost:8888/?product=wig-6,http://localhost:8888/assets/wigs/deepwave-16.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 16","Plusieurs couleurs disponibles"
wig-7,"Deep Wave Taille 30","Perruque Deep Wave très longue taille 30 pouces. Volume spectaculaire et boucles définies.",in stock,new,67000 XOF,http://localhost:8888/?product=wig-7,http://localhost:8888/assets/wigs/deepwave-30.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 30","Plusieurs couleurs disponibles"
wig-8,"Perruque Frange Taille 12","Perruque avec Frange taille 12 pouces. Look moderne, jeune et structuré.",in stock,new,19500 XOF,http://localhost:8888/?product=wig-8,http://localhost:8888/assets/wigs/frange-12.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 12","Plusieurs couleurs disponibles"
wig-9,"Perruque Frange Taille 26","Grande longueur 26 pouces avec frange droite et lisse. Élégance remarquable.",in stock,new,42000 XOF,http://localhost:8888/?product=wig-9,http://localhost:8888/assets/wigs/frange-26.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 26","Plusieurs couleurs disponibles"
wig-10,"Perruque Lisse Taille 30","Cheveux extrêmement lisses et soyeux taille 30 pouces. Brillance miroir garantie.",in stock,new,65000 XOF,http://localhost:8888/?product=wig-10,http://localhost:8888/assets/wigs/lisse-30.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 30","Plusieurs couleurs disponibles"
wig-11,"Water Wave Taille 14","Texture Water Wave naturelle effet vague d'eau taille 14 pouces.",in stock,new,22500 XOF,http://localhost:8888/?product=wig-11,http://localhost:8888/assets/wigs/waterwave-14.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 14","Plusieurs couleurs disponibles"
wig-12,"Water Wave Taille 16","Water Wave souple et volumineux taille 16 pouces. Idéal pour toutes les carnations.",in stock,new,24000 XOF,http://localhost:8888/?product=wig-12,http://localhost:8888/assets/wigs/waterwave-16.jpg,"FDV shopping","Apparel & Accessories > Hair Accessories > Wigs","Health & Beauty > Hair Care > Hair Extensions & Wigs","Taille 16","Plusieurs couleurs disponibles"
eventail-1,"Éventail Pagne Wax N°1","Éventail artisanal pliable en véritable tissu Pagne Wax. Monture solide.",in stock,new,1700 XOF,http://localhost:8888/?product=eventail-1,http://localhost:8888/assets/eventails/eventail-1.jpg,"FDV shopping","Apparel & Accessories > Clothing Accessories","Clothing & Accessories","Taille Unique","Motif Wax #1"
